Poradi,Umelec,Pisen
1,Black Eyed Peas,I Got a Feelin'
2,Avicii,Wake Me Up
3,Avicii,The Nights
4,Justin Timberlake,Can't Stop The Feeling
5,Maroon 5,Sugar
6,Bruno Mars,Treasure
7,Daft Punk,Get Lucky
8,TOTO,Africa
9,Ed Sheeran,Perfect
10,Ed Sheeran,Shape Of You
11,Mike & The Mechanics,Over My Shoulder
12,Kenny Loggins,Footloose
13,Republica,Ready to Go
14,a-ha,Take on Me
15,Grease,Greased Lightning
16,Robbie Williams,Let Me Entertain You
17,Walk The Moon,Shut Up and Dance
18,OneRepublic,Runaway
19,OneRepublic,Sunshine
20,Elton John,I'm Still Standing
21,Harry Styles,Watermelon Sugar
22,Harry Styles,As It Was
23,U2,I Still Haven't Found What I'm Looking For
24,U2,Where the Streets Have No Name
25,Queen,Don't Stop Me Now
26,Queen,Another One Bites The Dust
27,Queen,Crazy Little Thing Called Love
28,Rainbow,Since You've Been Gone
29,AC/DC,You Shook Me All Night Long
30,Wham!,Wake Me Up Before You Go-Go
31,Wham!,Freedom
32,Bon Jovi,You Give Love a Bad Name
33,Police,Every Breath You Take
34,Police,Message In A Bottle
35,Genesis,Jesus He Knows Me
36,Genesis,I Can't Dance
37,Phil Collins,Another Day In Paradise
38,Phil Collins,Dance Into The Light
39,George Ezra,Budapest
40,Coldplay,Paradise
41,Coldplay,Viva La Vida
42,The Turtles,Happy Together
43,Counting Crows (Shrek),Accidentally in Love
44,Foo Fighters,Pretender
45,Foo Fighters,Learn To Fly
46,Tal Bachman,She's So High
