Poradi,Umelec,Pisen
1,Rolling Stones,Start Me Up,
2,Rolling Stones,Has Anybody Seen My Baby,
3,Rolling Stones,Satisfaction,
4,Nancy Sinatra,Boots Are Made for Walkin’,
5,Bruce Channel,Hey Baby,
6,Beatles,I Saw Her Standing There,
7,Beatles,I Wanna Be Your Man,
8,Beatles,Hard Day’s Night,
9,Beatles,She Loves You,
10,Beatles,All My Loving,
11,Beatles,Can’t Buy Me Love,
12,Beatles,Help,
14,Elvis Presley,Party,
15,Elvis Presley,Don’t Be Cruel,
16,Elvis Presley,Viva Las Vegas,
17,Elvis Presley,All Shook Up,
18,Chuck Berry,Johnny Be Goode,
19,Bob Dylan,Knockin’ on the Heaven’s Door,
20,The Swinging Blue Jeans,Hippy Hippy Shake,
21,Ben E. King,Stand By Me,
22,Chris Isaac,Girl You’ll Be a Woman,
23,ZZ Top,Gimme All Your Lovin’,
24,ZZ Top,Sharp Dressed Man,
25,Blue Suede,Hooked On a Feeling,
