Author,Song
Adele,Hello
Adele,Make You Feel My Love
Adele ,Rolling in the Deep
Alanis Morisette,Ironic
Alesha Dixon,The boys does nothing 
Amy Winehouse,Valerie
Amy Winehouse,Rehab
Avicii,Wake Me Up
Billie Eilish,Bad Guy
Billie Eilish ,Happier than ever
Black Eyed Peas,I Gotta Feelin'
Bon Jovi,You Give Love a Bad Name
Bonnie Tyler,Holding out for a Hero 
Britney Spears,…One More Time
Bruno Mars,Treasure
Carly Rae Jepsen,Call Me Maybe
Coldplay,Paradise
Counting Crows (Shrek),Accidentally in Love
Cyndi Lauper,Girls Just Wanna Have Fun
Cyndi Lauper,Time After Time
Daft Punk,Get Lucky
David Guetta,World Is Mine
Dirty Dancing,Time of My Life
Dolly Parton,Jolene
Dua Lipa,Be the One
Dua Lipa,Levitating
Dua Lipa,Love Again
Dusty Springfield,Son of a Preacher Man
Dusty Springfield,I Only Want to Be With You
Ed Sheeran,Perfect
Ed Sheeran,Shape Of You
Ellie Goulding,Burn
Elton John,Icm Still Standing
Eurythmics,Sweet Dreams
Ewa Farna,Boky jako skříň
Foo Fighters,Pretender
Foo Fighters,Learn To Fly
George Ezra,Budapest
Grease,Grease Lightning
"Guetta, Bebe Rexha",I'm Good (Blue)
Harry Styles,Watermelon Sugar
Harry Styles,As It Was
Cher,Believe
Christina Perri,A Thousand Years
Imagine dragons,Thunder
John Newman ,Love Me Again
Justin Timberlake,Can't Stop The Feeling
Katty Perry ,I Kissed a girl
Katy Perry,Hot N Cold
Katy Perry,Roar
Kylie Minogue,Can't Get You Out of My Head
La Belle,Lady Marmalade
Lady Gaga,Poker Face
Lady Gaga & Bradley Cooper,Shallow
Madcon,Beggin'
Madonna,Like a Virgin
Madonna,Ray of Light
Maroon 5,Sugar
Meghan Trainor,Made You Look
Mike Oldfield,Moonlight Shadow
Miley Cyrus,Flowers
Miley Cyrus,Wrecking Ball
Miley Cyrus,Party in the USA
Natalie Imbruglia,Torn
Olivia Rodrigo ,Vampire 
One Direction,One way or another
One republic,Counting Stars
OneRepublic,Runaway
OneRepublic,Sunshine
Pharell Williams,Happy 
Phil Collins,Another Day In Paradise
Phil Collins,Dance Into The Light
Police,Every Breath You Take
Police,Message In A Bottle
Queen,Don't Stop Me Now
Queen,Another One Bites The Dust
Queen,Crazy Little Thing Called Love
Republica ,Ready to Go
Rihanna,S&M
Rihanna ,We Found Love
Robbie Williams,Let Me Entertain You
Roxette,Joyride
Shania Twain,Still The One
Shania Twain,"Man, I Feel Like a Woman"
Shania Twain,You Shook Me All Night Long
Sia,Cheap Thrills
Smash Mouth,I'm a believer
Spice Girls,Wannabe
Swedish House Mafia,Don't You Worry Child
Tal Bachman,She's So High
Taylor Swift,Shake it Off
Taylor Swift,You Belong With Me
Taylor swift,Blank Space
The Turtles,Happy Together
Tina Turner,The Best
Tom Jones,Sex bomb
U2,I Still Haven't Found What I'm Looking For
U2,Where the Streets Have No Name
U2,With or without you
Walk The Moon,Shut Up and Dance
Wham!,Wake Me Up Before You Go-Go
Yvonne Přenosilová,Boty proti lásce
Zara Larsson,Lush life
