1,Taylor Swift,Shake it Off,
2,Katy Perry,Hot N Cold,
3,Adele,Hello,
4,Dua Lipa,Be the One,
5,Dua Lipa,Levitating,
6,Miley Cyrus,Flowers,
7,Miley Cyrus,Wrecking Ball,
8,Miley Cyrus,Party in the USA,
9,Lizzo,About Damn Time,
10,Britney Spears,Oops!…I Did It Again,
11,Britney Spears,…One More Time,
12,Guetta, Bebe Rexha,I’m Good (Blue),
13,Cyndi Lauper,Girls Just Wanna Have Fun,
14,Billie Eilish,Bad Guy,
15,Lady Gaga,Poker Face,
16,Dusty Springfield,Son of a Preacher Man,
17,Meghan Trainor,Made You Look,
18,Meghan Trainor,All About That Bass,
19,Etta James,I’d Rather Go Blind,
20,Tracy Chapman,Fast Car,
21,Jackson 5,I Want You Back,
22,Natalie Imbruglia,Torn,
23,Alanis Morisette,Ironic,
24,Mike Oldfield,Moonlight Shadow,
25,Michael Jackson,Human Nature,
26,Madcon,Beggin’,
27,Eurythmics,Sweet Dreams,
28,Shania Twain,Still The One,
29,Shania Twain,That Don’t Impress Me Much,
30,Shania Twain,Man, I Feel Like a Woman,
31,Shania Twain,You Shook Me All Night Long,
32,Madonna,Like a Virgin,
33,Madonna,Don’t Tell Me,
34,Madonna,Ray of Light,
35,Dolly Parton,Jolene,
36,Amy Winehouse,Valerie,
37,Amy Winehouse,Rehab,
38,La Belle,Lady Marmalade,
39,Carly Rae Jepsen,Call Me Maybe,
40,Ellie Goulding,Burn,
41,One Republic,Counting Stars,
42,Sia,Cheap Thrills,
43,Rihanna,S&M,
44,Amy MacDonald,This Is The Life,
45,Christina Perri,A Thousand Years,
46,Tina Turner,Simply The Best,
47,Dusty Springfield,I Only Want To Be With You,
